RC_STATION,COUNT_ID,RG,REGION_CODE,COUNTY_CODE,STAT,RCSTA,FUNCTIONAL_CLASS,FACTOR_GROUP,LATITUDE,LONGITUDE,SPECIFIC_RECORDER_PLACEMENT,CHANNEL_NOTES,DATA_TYPE,VEHICLE_AXLE_CODE,YEAR,MONTH,DAY,DAY_OF_WEEK,FEDERAL_DIRECTION,LANE_CODE,LANES_IN_DIRECTION,COLLECTION_INTERVAL,INTERVAL_1_1,INTERVAL_1_2,INTERVAL_1_3,INTERVAL_1_4,INTERVAL_2_1,INTERVAL_2_2,INTERVAL_2_3,INTERVAL_2_4,INTERVAL_3_1,INTERVAL_3_2,INTERVAL_3_3,INTERVAL_3_4,INTERVAL_4_1,INTERVAL_4_2,INTERVAL_4_3,INTERVAL_4_4,INTERVAL_5_1,INTERVAL_5_2,INTERVAL_5_3,INTERVAL_5_4,INTERVAL_6_1,INTERVAL_6_2,INTERVAL_6_3,INTERVAL_6_4,INTERVAL_7_1,INTERVAL_7_2,INTERVAL_7_3,INTERVAL_7_4,INTERVAL_8_1,INTERVAL_8_2,INTERVAL_8_3,INTERVAL_8_4,INTERVAL_9_1,INTERVAL_9_2,INTERVAL_9_3,INTERVAL_9_4,INTERVAL_10_1,INTERVAL_10_2,INTERVAL_10_3,INTERVAL_10_4,INTERVAL_11_1,INTERVAL_11_2,INTERVAL_11_3,INTERVAL_11_4,INTERVAL_12_1,INTERVAL_12_2,INTERVAL_12_3,INTERVAL_12_4,INTERVAL_13_1,INTERVAL_13_2,INTERVAL_13_3,INTERVAL_13_4,INTERVAL_14_1,INTERVAL_14_2,INTERVAL_14_3,INTERVAL_14_4,INTERVAL_15_1,INTERVAL_15_2,INTERVAL_15_3,INTERVAL_15_4,INTERVAL_16_1,INTERVAL_16_2,INTERVAL_16_3,INTERVAL_16_4,INTERVAL_17_1,INTERVAL_17_2,INTERVAL_17_3,INTERVAL_17_4,INTERVAL_18_1,INTERVAL_18_2,INTERVAL_18_3,INTERVAL_18_4,INTERVAL_19_1,INTERVAL_19_2,INTERVAL_19_3,INTERVAL_19_4,INTERVAL_20_1,INTERVAL_20_2,INTERVAL_20_3,INTERVAL_20_4,INTERVAL_21_1,INTERVAL_21_2,INTERVAL_21_3,INTERVAL_21_4,INTERVAL_22_1,INTERVAL_22_2,INTERVAL_22_3,INTERVAL_22_4,INTERVAL_23_1,INTERVAL_23_2,INTERVAL_23_3,INTERVAL_23_4,INTERVAL_24_1,INTERVAL_24_2,INTERVAL_24_3,INTERVAL_24_4,TOTAL,FLAG_FIELD,BATCH_ID
18_FAKE,20161010_18FAKE,1,1,8,FAKE,18FAKE,14,40,,,fake placement,fake notes,Volume Data,1,2016,10,10,Monday,3,0,1,15,13,15,11,10,13,11,9,7,2,5,8,4,11,11,14,14,16,14,19,18,13,14,13,14,15,10,13,15,16,12,14,14,19,17,21,17,17,19,17,18,12,17,11,16,20,21,20,20,10,7,8,7,26,24,27,24,21,20,23,25,19,19,26,22,20,20,23,22,21,22,21,16,25,25,28,22,90,87,90,84,24,20,25,23,18,19,14,19,16,17,15,21,23,18,14,17,1897,,31537
18_FAKE,20161010_18FAKE,1,1,8,FAKE,18FAKE,14,40,,,fake placement,fake notes,Volume Data,1,2016,10,10,Monday,7,0,1,15,14,11,10,8,8,8,7,6,6,6,10,4,10,13,8,10,12,13,17,14,15,18,20,19,24,22,21,23,25,20,26,23,25,28,26,28,30,21,22,25,139,136,141,141,26,23,28,26,75,74,76,71,22,26,22,28,28,26,22,29,20,18,22,19,19,19,19,16,19,24,21,21,25,22,25,18,23,16,21,21,16,14,17,14,23,23,19,20,14,15,10,15,13,18,12,10,2476,,31537
18_FAKE,20161010_18FAKE,1,1,8,FAKE,18FAKE,14,40,,,fake placement,fake notes,Volume Data,1,2016,10,11,Tuesday,3,0,1,15,7,5,7,7,16,13,16,11,6,3,4,5,12,13,16,15,8,10,4,14,13,17,12,14,12,16,12,10,15,11,13,15,11,12,14,11,15,16,13,14,18,22,18,18,15,14,18,17,25,24,20,18,17,21,18,19,17,18,17,19,24,28,27,21,23,26,24,26,21,27,30,26,28,32,27,29,27,28,29,26,21,21,21,24,16,17,21,16,19,17,18,16,15,15,9,13,1639,,31537
18_FAKE,20161010_18FAKE,1,1,8,FAKE,18FAKE,14,40,,,fake placement,fake notes,Volume Data,1,2016,10,11,Tuesday,7,0,1,15,11,12,13,11,9,14,14,16,14,16,19,16,12,12,14,9,17,14,17,14,16,20,16,17,21,23,22,18,20,18,20,17,96,98,95,98,28,32,31,33,26,24,28,29,25,24,30,27,24,24,23,26,23,25,25,20,22,20,22,25,20,21,21,17,17,18,20,18,28,26,26,27,15,18,18,16,20,21,24,20,16,17,18,18,11,13,14,14,17,13,12,9,18,14,10,14,2144,,31537
18_FAKE,20161010_18FAKE,1,1,8,FAKE,18FAKE,14,40,,,fake placement,fake notes,Volume Data,1,2016,10,12,Wednesday,3,0,1,15,11,6,10,4,13,16,14,17,8,14,10,5,15,12,16,14,10,11,10,12,9,10,9,12,20,20,18,16,11,14,10,13,15,18,15,15,14,13,12,17,18,17,18,21,15,18,19,20,16,19,19,20,21,20,15,13,23,27,24,22,26,24,27,25,26,26,28,29,29,29,26,27,26,32,27,31,26,28,33,30,15,23,22,20,20,19,21,16,18,17,21,22,13,18,16,15,1745,,31537
18_FAKE,20161010_18FAKE,1,1,8,FAKE,18FAKE,14,40,,,fake placement,fake notes,Volume Data,1,2016,10,12,Wednesday,7,0,1,15,9,7,6,10,6,9,9,10,15,14,22,18,9,9,5,8,11,14,20,16,13,20,19,18,22,18,14,14,23,20,20,20,24,26,26,27,29,34,33,31,30,31,30,27,28,24,27,30,28,26,28,23,25,21,21,23,25,24,20,24,23,20,19,19,20,15,15,14,18,20,18,14,16,17,14,13,17,15,18,15,14,14,14,16,24,19,17,21,11,12,16,13,10,17,16,14,1781,,31537
18_FAKE,20161010_18FAKE,1,1,8,FAKE,18FAKE,14,40,,,fake placement,fake notes,Volume Data,1,2016,10,13,Thursday,3,0,1,15,9,9,6,14,12,14,9,12,11,13,15,16,15,16,15,12,9,13,12,13,12,16,7,7,13,21,17,19,17,15,16,20,16,18,14,12,14,20,16,18,11,14,15,21,19,24,20,20,3,4,6,0,18,19,17,17,17,24,20,21,23,19,22,22,25,22,21,27,34,34,33,29,23,24,27,28,25,25,22,28,23,20,20,22,19,24,25,28,17,15,18,21,15,16,15,18,1691,,31537
18_FAKE,20161010_18FAKE,1,1,8,FAKE,18FAKE,14,40,,,fake placement,fake notes,Volume Data,1,2016,10,13,Thursday,7,0,1,15,7,10,12,10,13,8,12,15,12,10,6,13,16,13,11,14,5,7,6,3,15,16,17,20,14,16,18,14,24,26,24,22,22,24,25,24,31,29,27,29,30,29,30,28,25,26,25,29,27,31,25,25,26,22,24,27,25,22,24,17,21,22,24,22,2,4,4,3,19,21,14,17,17,16,16,16,19,17,16,14,14,11,18,14,17,17,8,12,14,17,16,13,19,17,13,21,1702,,31537
18_FAKE,20161010_18FAKE,1,1,8,FAKE,18FAKE,14,40,,,fake placement,fake notes,Volume Data,1,2016,10,14,Friday,3,0,1,15,8,5,9,5,8,10,7,8,20,10,17,15,9,9,7,15,7,9,18,13,16,14,14,13,16,10,9,11,11,10,16,12,17,21,15,16,23,19,19,18,16,15,17,17,21,25,17,19,18,18,20,19,25,18,22,20,26,19,18,23,23,25,19,26,26,28,25,30,26,29,24,27,23,24,28,30,21,20,23,20,17,16,24,23,19,21,21,22,19,18,15,13,19,17,14,16,1693,,31537
18_FAKE,20161010_18FAKE,1,1,8,FAKE,18FAKE,14,40,,,fake placement,fake notes,Volume Data,1,2016,10,14,Friday,7,0,1,15,12,10,8,10,17,17,26,19,12,12,11,15,12,12,12,9,11,13,18,18,22,19,25,23,19,20,16,21,22,23,24,26,27,29,32,31,30,33,28,30,28,31,27,25,24,27,26,28,30,23,23,27,26,28,27,28,21,17,23,19,20,22,18,26,18,18,21,24,16,17,11,23,13,18,19,17,17,16,17,21,18,16,12,15,14,10,11,14,11,13,13,12,9,12,8,9,1851,,31537
